No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"robot aspiradora y trapeadora","transactional","3.600","$696,24","100","11"
2,"robot aspiradora","transactional","27.100","$652,73","100","11"
3,"aspiradora robot xiaomi","transactional","2.900","$348,12","100","13"
4,"aspiradora robot argentina","transactional, navigational","110","$1.508,52","100","12"
5,"aspiradora robot aspira y trapea",null,"20","$942,83","100","36"
6,"sin robot",null,"10","$0,00","1","18"
7,"escobillas para robot aspiradora",null,"10","$0,00","100","36"
8,"aspiradora robot xiaomi argentina",null,"10","$1.414,24","100","36"
9,"aspiradora robot trapea y barre",null,"0","$0,00","1","4"
10,"robot aspiradora y trapeadora para mascotas",null,"0","$0,00","1","4"
11,"aspiradora y trapeadora robot con mapeo",null,"0","$0,00","1","4"
12,"robot aspiradora y trapeadora para perros",null,"0","$0,00","1","4"
13,"aspiradora y trapeadora robótica",null,"0","$0,00","1","4"
14,"robot aspiradora y trapeadora con camara",null,"0","$0,00","1","4"
15,"robot aspiradora y trapeadora con autovaciado",null,"0","$0,00","1","4"
16,"robot aspiradora y trapeadora con tanque de agua",null,"0","$0,00","1","4"
17,"robot aspiradora y trapeadora con mapeo samsung",null,"0","$0,00","1","4"
18,"robot aspiradora y trapeadora con estacion",null,"0","$0,00","1","4"
19,"robot aspiradora y trapeadora con base",null,"0","$0,00","1","4"
20,"aspiradora y trapeadora robot de mano",null,"0","$0,00","1","4"
21,"robot aspiradora y trapeadora con deposito",null,"0","$0,00","1","4"
22,"repuestos para robot aspiradora xiaomi",null,"0","$0,00","1","4"
23,"sin cable aspiradora robot",null,"0","$0,00","1","4"
24,"sin bolsa aspiradora robot",null,"0","$0,00","1","4"
25,"robot aspiradora sin fregasuelos",null,"0","$0,00","1","4"
26,"aspiradora robot sin trapeador",null,"0","$0,00","1","4"
27,"aspiradora robot sin mopa",null,"0","$0,00","1","4"
28,"mantenimiento a aspiradora robot",null,"0","$0,00","1","4"
29,"aspiradora robot a",null,"0","$0,00","1","12"
30,"nombres para robot aspiradora",null,"0","$0,00","1","4"
31,"cargador para robot aspiradora",null,"0","$0,00","1","4"
32,"robot aspiradora sin wifi",null,"0","$0,00","1","4"
33,"aspiradora robot aspiradora robot",null,"0","$0,00","1","4"
34,"bateria para robot aspiradora",null,"0","$0,00","1","4"
35,"paños para robot aspiradora",null,"0","$0,00","1","4"
36,"jabon para robot aspiradora",null,"0","$0,00","1","4"
37,"robot aspiradora sin fregado",null,"0","$0,00","1","4"
38,"aspiradora robot sin interes",null,"0","$0,00","1","4"
39,"robot aspiradora sin camara",null,"0","$0,00","1","4"
40,"robot para aspiradora",null,"0","$0,00","1","12"
41,"liquido para robot aspiradora",null,"0","$0,00","1","4"
42,"filtros para robot aspiradora",null,"0","$0,00","1","4"
43,"mueble para robot aspiradora",null,"0","$0,00","1","4"
44,"detergente para robot aspiradora",null,"0","$0,00","1","4"
45,"robot aspiradora sin internet",null,"0","$0,00","1","4"
46,"limpiador para robot aspiradora",null,"0","$0,00","1","4"
47,"pila para robot aspiradora",null,"0","$0,00","1","4"
48,"aspiradora robot xiaomi cuotas sin interes",null,"0","$0,00","1","4"
49,"filtro para aspiradora robot xiaomi s10",null,"0","$0,00","1","4"
50,"robot aspiradora xiaomi sin cable",null,"0","$0,00","1","4"
51,"xiaomi aspiradora robot vacuum s10",null,"0","$0,00","1","4"
52,"cepillo para aspiradora robot xiaomi",null,"0","$0,00","1","4"
53,"bolsas para aspiradora robot xiaomi",null,"0","$0,00","1","4"
54,"filtro para aspiradora robot xiaomi",null,"0","$0,00","1","4"
55,"liquido para aspiradora robot xiaomi",null,"0","$0,00","1","4"
56,"accesorios para aspiradora robot xiaomi",null,"0","$0,00","1","4"
57,"aplicacion para aspiradora robot xiaomi",null,"0","$0,00","1","4"
58,"mopa para aspiradora robot xiaomi",null,"0","$0,00","1","4"
59,"bateria para aspiradora robot xiaomi vacuum",null,"0","$0,00","1","4"
