No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"robot aspiradora y trapeadora","transactional","3.600","$696,24","100","11"
2,"robot aspiradora","transactional","27.100","$652,73","100","11"
3,"aspiradora robot xiaomi","transactional","2.900","$348,12","100","13"
4,"robot aspiradora samsung","transactional","1.600","$623,72","100","18"
5,"robot aspiradora atma","transactional","1.000","$246,59","100","12"
6,"robot aspiradora xiaomi","transactional","390","$449,66","100","13"
7,"robot aspiradora electrolux","transactional, navigational","320","$246,59","100","14"
8,"robot aspiradora precio","transactional","260","$145,05","100","12"
9,"aspiradora robot xiaomi e10","transactional","260","$319,11","100","11"
10,"aspiradora robot xiaomi vacuum s20","transactional","260","$348,12","100","18"
11,"aspiradora robot xiaomi s20","transactional","260","$406,14","99","18"
12,"aspiradora robot xiaomi vacuum e5","transactional","260","$420,65","100","18"
13,"aspiradora robot gadnic 4 modos de limpieza","transactional, navigational","210","$1.000,85","100","12"
14,"robot aspiradora gadnic","transactional, navigational","170","$536,69","100","10"
15,"robot aspiradora conga","transactional","170","$406,14","100","12"
16,"aspiradora robot ultracomb as 6061","transactional, navigational, commercial","170","$145,05","100","13"
17,"robot aspiradora en chile",null,"140","$253,84","99","35"
18,"aspiradora robot xiaomi x10","transactional","140","$246,59","100","19"
19,"aspiradora robot xiaomi s10","transactional","140","$333,62","100","16"
20,"aspiradora robot xiaomi e10 eu","transactional","140","$522,18","100","36"
21,"aspiradora y trapeadora robot 28w sansei","transactional","110","$304,61","94","14"
22,"robot aspiradora karcher","transactional","110","$319,11","100","14"
23,"robot aspiradora philips","transactional, navigational","110","$652,73","100","13"
24,"aspiradora robot xiaomi e5","transactional","110","$217,58","100","23"
25,"robot aspiradora opiniones",null,"90","$688,99","100","44"
26,"aspiradora robot xiaomi s20 plus",null,"90","$551,19","100","36"
27,"robot aspiradora carrefour",null,"70","$304,61","100","44"
28,"robot aspiradora inteligente",null,"70","$659,98","100","44"
29,"robot aspiradora xiaomi modelos",null,"50","$340,87","100","36"
30,"aspiradora robot 12 cuotas sin interés",null,"50","$1.102,38","100","36"
31,"aspiradora robot z900",null,"50","$2.154,00","100","44"
32,"aspiradora y trapeadora robot xiaomi",null,"50","$333,62","100","36"
33,"aspiradora robot barredora y trapeadora con filtro hepa sl rvc013",null,"40","$601,96","100","36"
34,"aspiradora robot trapeadora inteligente mopa yelmo as 7070",null,"40","$0,00","100","36"
35,"robot aspiradora yelmo",null,"40","$464,16","100","44"
36,"aspiradora robot gadnic 5 modos",null,"40","$1.950,93","100","36"
37,"aspiradora robot opiniones argentina",null,"40","$1.240,18","100","36"
38,"aspiradora robot ultracomb as 6061 como funciona",null,"40","$0,00","21","12"
39,"robot aspiradora oferta",null,"40","$529,43","100","44"
40,"aspiradora robot xiaomi x20",null,"40","$340,87","100","36"
41,"aspiradora robot xiaomi vacuum mop 2",null,"40","$181,31","100","36"
42,"aspiradora robot xiaomi vacuum e10",null,"40","$594,71","100","36"
43,"robot aspiradora roomba",null,"30","$456,91","100","44"
44,"robot aspiradora smartlife",null,"30","$348,12","100","44"
45,"aspiradora robot xiaomi x20 plus",null,"30","$384,38","100","36"
46,"aspiradora robot xiaomi vacuum s20 negra 220v",null,"30","$0,00","1","5"
47,"robot aspiradora y trapeadora fravega",null,"20","$623,72","100","36"
48,"robot aspiradora y trapeadora argentina",null,"20","$420,65","100","36"
49,"mejor robot aspiradora y trapeadora 2025",null,"20","$1.900,16","100","36"
50,"aspiradora robot que sube escaleras",null,"20","$348,12","100","36"
51,"aspiradora robot que tener en cuenta",null,"20","$1.000,85","100","36"
52,"robot aspiradora lg",null,"20","$319,11","100","44"
53,"robot aspiradora barato",null,"20","$543,94","100","44"
54,"robot aspiradora midea",null,"20","$253,84","100","44"
55,"robot aspiradora dibujo",null,"20","$0,00","1","13"
56,"robot aspiradora ezviz",null,"20","$232,08","100","44"
57,"robot aspiradora ilife",null,"20","$377,13","100","44"
58,"robot aspiradora de piscina",null,"20","$0,00","100","36"
59,"robot aspiradora fravega",null,"20","$362,63","100","44"
60,"robot aspiradora dreame",null,"20","$333,62","100","44"
61,"robot aspiradora gadnic z900",null,"20","$7.020,43","100","36"
62,"robot aspiradora peugeot",null,"20","$398,89","100","44"
63,"robot aspiradora mercado libre",null,"20","$0,00","100","36"
64,"aspiradora robot xiaomi s40c",null,"20","$369,88","100","36"
65,"aspiradora robot xiaomi x20 pro",null,"20","$464,16","100","36"
66,"aspiradora robot xiaomi vacuum s40",null,"20","$710,75","100","36"
67,"aspiradora robot xiaomi vacuum x20 pro",null,"20","$514,93","100","36"
68,"aspiradora robot xiaomi chile",null,"20","$290,10","83","30"
69,"aspiradora robot xiaomi vacuum s20 negra",null,"20","$471,41","100","36"
70,"robot aspiradora y trapeadora gadnic",null,"10","$1.298,20","100","36"
71,"mejor robot aspiradora y trapeadora 2024",null,"10","$0,00","1","5"
72,"mejor robot aspiradora y trapeadora argentina",null,"10","$0,00","100","36"
73,"aspiradora y trapeadora robot fika sense",null,"10","$0,00","100","36"
74,"robot aspiradora y trapeadora liverpool",null,"10","$0,00","1","5"
75,"robot aspiradora y trapeadora ursus trotter",null,"10","$0,00","1","5"
76,"aspiradora y trapeadora robot fika smart",null,"10","$558,44","100","36"
77,"robot aspiradora y trapeadora industrial",null,"10","$0,00","1","5"
78,"robot aspiradora y trapeadora osoji d1000pro",null,"10","$0,00","1","5"
79,"robot aspiradora y trapeadora mercado libre",null,"10","$326,36","100","36"
80,"samsung aspiradora y trapeadora robot 2 en 1 wifi",null,"10","$0,00","71","27"
81,"robot aspiradora y trapeadora huawei",null,"10","$0,00","100","36"
82,"robot aspiradora y trapeadora xiaomi s20",null,"10","$0,00","100","36"
83,"robot aspiradora xiaomi s20",null,"10","$311,86","100","36"
84,"aspiradora robot 18 cuotas",null,"10","$0,00","56","23"
85,"aspiradora robot 18 cuotas sin interés",null,"10","$0,00","100","36"
86,"aspiradora robot 3000 pa",null,"10","$957,33","100","36"
87,"aspiradora robot roomba 621",null,"10","$0,00","1","5"
88,"aspiradora robot roomba 675",null,"10","$0,00","1","5"
89,"aspiradora robot roomba 614",null,"10","$0,00","100","36"
90,"aspiradora robot roomba 677",null,"10","$0,00","1","5"
91,"aspiradora robot osoji 990 opiniones",null,"10","$0,00","1","5"
92,"aspiradora robot v1 9.8 w insigna opiniones",null,"10","$0,00","100","36"
93,"aspiradora robot jallen gabor",null,"10","$0,00","100","36"
94,"aspiradora robot japonesa",null,"10","$0,00","1","13"
95,"aspiradora robot osoji duo 990",null,"10","$0,00","1","5"
96,"aspiradora robot que mapea",null,"10","$0,00","56","23"
97,"aspiradora robot z1800",null,"10","$0,00","100","44"
98,"robot aspiradora que es",null,"10","$0,00","1","5"
99,"robot aspiradora fika",null,"10","$398,89","99","43"
100,"robot aspiradora mejor",null,"10","$0,00","1","13"
101,"robot aspiradora vacuum s12",null,"10","$0,00","1","5"
102,"robot aspiradora 2 en 1 wurden",null,"10","$0,00","1","5"
103,"robot aspiradora wurden",null,"10","$0,00","100","44"
104,"robot aspiradora falabella",null,"10","$0,00","71","35"
105,"robot aspiradora ripley",null,"10","$0,00","1","13"
106,"robot aspiradora black friday",null,"10","$0,00","1","5"
107,"robot aspiradora media markt",null,"10","$0,00","1","5"
108,"robot aspiradora alexa",null,"10","$0,00","100","44"
109,"robot aspiradora para piscina",null,"10","$239,33","100","36"
110,"robot aspiradora suono",null,"10","$790,52","100","44"
111,"robot aspiradora osoji d870",null,"10","$0,00","1","5"
112,"robot aspiradora aiwa",null,"10","$398,89","73","35"
113,"robot aspiradora cual es la mejor",null,"10","$0,00","100","36"
114,"robot aspiradora recargable",null,"10","$0,00","1","13"
115,"robot aspiradora roborock",null,"10","$420,65","100","44"
116,"robot aspiradora fregona",null,"10","$0,00","1","13"
117,"robot aspiradora panama",null,"10","$0,00","86","39"
118,"robot aspiradora roomba 692",null,"10","$0,00","1","5"
119,"robot aspiradora mi",null,"10","$0,00","1","13"
120,"robot aspiradora liverpool",null,"10","$0,00","1","13"
121,"robot aspiradora shark",null,"10","$0,00","100","44"
122,"robot aspiradora ultracomb",null,"10","$246,59","100","44"
123,"robot aspiradora wurden 2 en 1",null,"10","$0,00","100","36"
124,"robot aspiradora industrial",null,"10","$1.131,39","93","41"
125,"robot aspiradora vileda",null,"10","$0,00","100","44"
126,"robot aspiradora calidad precio",null,"10","$0,00","86","31"
