No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"robot aspiradora","27.100","$652,73","100","11"
2,"aspirador samsung","2.900","$239,33","100","49"
3,"samsung aspiradora","3.600","$333,62","100","22"
4,"robot aspiradora y trapeadora","3.600","$696,24","100","11"
5,"aspiradora trapeadora robot","3.600","$580,20","100","11"
6,"aspiradora y trapeadora robot","3.600","$420,65","100","9"
7,"aspiradora robot xiaomi","2.900","$348,12","100","13"
8,"aspirador robot xiaomi","2.900","$435,15","100","15"
9,"atma aspiradora","2.400","$116,04","100","12"
10,"aspiradora robot samsung","1.300","$449,66","100","19"
11,"aspiradora samsung robot","1.900","$377,13","100","18"
12,"robot aspiradora samsung","1.600","$623,72","100","18"
13,"roomba","1.600","$348,12","89","11"
14,"aspiradoras robot samsung","1.300","$667,23","100","44"
15,"samsung aspiradora robot","1.300","$369,88","100","44"
16,"aspiradoras robot atma","10","$0,00","100","44"
17,"robot aspirador atma","10","$290,10","100","44"
18,"aspiradora robot gadnic","1.600","$449,66","100","10"
19,"atma robot aspiradora","1.000","$297,35","100","44"
20,"aspiradora gadnic","1.900","$348,12","100","10"
21,"aspiradora robot atma","1.000","$261,09","100","13"
22,"aspiradora robot roomba","880","$261,09","100","9"
23,"gadnic aspiradora robot","1.600","$435,15","100","11"
24,"robot aspiradora atma","1.000","$246,59","100","12"
25,"atma aspiradora robot","1.000","$217,58","100","11"
