No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"masajeador cervical","transactional","12.100","$145,05","100","13"
2,"pistola masajeadora","transactional","5.400","$275,60","100","11"
3,"masajeador de espalda","transactional","5.400","$159,56","100","18"
4,"masajeador cervical y espalda","transactional","720","$159,56","100","18"
5,"masajeador de espalda y cuello","transactional, commercial","390","$174,06","100","14"
6,"masajeador de espalda y cervicales","transactional","110","$188,57","100","13"
7,"masajeador de espalda y cuello mercadolibre","transactional, navigational, commercial","90","$87,03","100","18"
8,"masajeador cervical y lumbar",null,"50","$275,60","100","36"
9,"masajeador cervical y lumbar gadnic",null,"50","$935,57","100","36"
10,"masajeador cervical inalámbrico",null,"50","$311,86","100","44"
11,"masajeador de espalda y cuello eléctrico",null,"50","$348,12","100","36"
12,"masajeador cervical y lumbar gadnic 8 rodillos bidireccionales",null,"30","$1.058,87","100","36"
13,"masajeador cervical y espalda manual",null,"20","$116,04","100","36"
14,"pistola masajeadora opiniones",null,"20","$427,90","100","44"
15,"masajeador de espalda y cuello manual",null,"20","$108,79","87","32"
16,"masajeador cervical cual es mejor",null,"10","$667,23","100","36"
17,"masajeador cervical y espalda mercadolibre",null,"10","$159,56","100","36"
18,"masajeador cervical y espalda amazon",null,"10","$0,00","1","5"
19,"masajeador cervical y espalda gadnic",null,"10","$4.220,96","93","33"
20,"pistola masajeadora oryx",null,"10","$0,00","100","44"
21,"pistola masajeadora usos",null,"10","$0,00","48","28"
22,"masajeador de espalda y cuello amazon",null,"10","$0,00","1","5"
23,"masajeador de espalda y cuello temu",null,"10","$0,00","1","5"
24,"masajeador de espalda fravega",null,"10","$290,10","100","36"
25,"masajeador cervical es bueno",null,"0","$0,00","1","4"
26,"masajeador cervical en once",null,"0","$0,00","1","4"
27,"masajeador cervical ortopedia",null,"0","$0,00","1","12"
28,"masajeador cervical y espalda lidl",null,"0","$0,00","1","4"
29,"masajeador cervical y espalda ale hop",null,"0","$0,00","1","4"
30,"masajeador cervical y cuello",null,"0","$0,00","1","4"
31,"masajeador cervical y espalda media markt",null,"0","$0,00","1","4"
32,"masajeador cervical review",null,"0","$0,00","1","12"
33,"masajeador cervical femmto vs gadnic",null,"0","$0,00","1","4"
34,"masajeador cervical uso",null,"0","$0,00","1","12"
35,"pistola masajeadora ingles",null,"0","$0,00","1","12"
36,"pistola masajeadora muscular frio y calor",null,"0","$0,00","1","4"
37,"pistola masajeadora por mayor",null,"0","$0,00","1","4"
38,"pistola masajeadora usos y aplicaciones",null,"0","$0,00","1","4"
39,"pistola masajeadora youtube",null,"0","$0,00","1","12"
40,"pistola masajeadora calor y frio",null,"0","$0,00","1","4"
41,"pistola masajeadora yosemite",null,"0","$0,00","1","12"
42,"pistola masajeadora es buena o mala",null,"0","$0,00","1","4"
43,"pistola masajeadora vale la pena",null,"0","$0,00","1","4"
44,"pistola masajeadora mejor",null,"0","$0,00","1","12"
45,"pistola masajeadora inalámbrica",null,"0","$0,00","1","12"
46,"pistola masajeadora indicaciones",null,"0","$0,00","1","12"
47,"pistola masajeadora eléctrica",null,"0","$0,00","1","12"
48,"pistola masajeadora uso",null,"0","$0,00","1","12"
49,"pistola masajeadora mejor marca",null,"0","$0,00","1","4"
50,"masajeador de cuello o espalda",null,"0","$0,00","1","4"
51,"masajeador de espalda marcas",null,"0","$0,00","1","4"
52,"masajeador de espalda y lumbar",null,"0","$0,00","1","4"
53,"masajeador de espalda y abdomen",null,"0","$0,00","1","4"
54,"masajeador de espalda y cuello suono",null,"0","$0,00","1","4"
55,"masajeador de espalda recomendado",null,"0","$0,00","1","4"
56,"masajeador de espalda el mejor",null,"0","$0,00","1","4"
57,"masajeador de espalda y cuello walmart",null,"0","$0,00","1","4"
58,"masajeador de espalda cual es mejor",null,"0","$0,00","1","4"
