No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"masajeador cervical","transactional","12.100","$145,05","100","13"
2,"pistola masajeadora","transactional","5.400","$275,60","100","11"
3,"masajeador de espalda","transactional","5.400","$159,56","100","18"
4,"masajeador para cervical","transactional","480","$130,55","100","16"
5,"masajeador para espalda",null,"260","$174,06","100","44"
6,"masajeador para dolor de espalda",null,"90","$239,33","35","16"
7,"masajeador para espalda baja",null,"40","$0,00","19","11"
8,"masajes con pistola masajeadora",null,"30","$0,00","43","18"
9,"masajeador para cervical y espalda",null,"20","$224,83","100","36"
10,"masajeador para espalda y cuello",null,"20","$246,59","100","36"
11,"pistola masajeadora para celulitis",null,"10","$0,00","89","32"
12,"masajeador de espalda con calor",null,"10","$137,80","100","36"
13,"mochila con masajeador de espalda",null,"10","$0,00","52","21"
14,"masajeador para espalda manual",null,"10","$0,00","100","36"
15,"masajeador de espalda con rodillos",null,"10","$0,00","100","36"
16,"masajeador de espalda con manos",null,"10","$188,57","100","36"
17,"masajeador cervical no funciona",null,"0","$0,00","1","4"
18,"masajeador cervical no enciende",null,"0","$0,00","1","4"
19,"masajeador cervical para que sirve",null,"0","$0,00","1","4"
20,"masajeador cervical para auto",null,"0","$0,00","1","4"
21,"masajeador cervical como usar",null,"0","$0,00","1","4"
22,"masajeador para cervical precio",null,"0","$0,00","1","4"
23,"funda para masajeador cervical",null,"0","$0,00","1","4"
24,"cargador para masajeador cervical",null,"0","$0,00","1","4"
25,"cable para masajeador cervical",null,"0","$0,00","1","4"
26,"transformador para masajeador cervical",null,"0","$0,00","1","4"
27,"masajeador para hernia cervical",null,"0","$0,00","1","4"
28,"masajeador para artrosis cervical",null,"0","$0,00","1","4"
29,"masajeador para dolor cervical",null,"0","$0,00","1","4"
30,"masajeador para rectificación cervical",null,"0","$0,00","1","4"
31,"masajeador para cuello cervical",null,"0","$0,00","1","4"
32,"masajeador cervical para silla",null,"0","$0,00","1","4"
33,"masajeador cervical sin cable",null,"0","$0,00","1","4"
34,"masajeador con calor cervical",null,"0","$0,00","1","4"
35,"masajeador cervical como funciona",null,"0","$0,00","1","4"
36,"pistola masajeadora contraindicaciones",null,"0","$0,00","1","12"
37,"pistola masajeadora como funciona",null,"0","$0,00","1","4"
38,"pistola masajeadora para fascitis plantar",null,"0","$0,00","1","4"
39,"pistola masajeadora para que sirve cada cabezal",null,"0","$0,00","1","4"
40,"pistola masajeadora para pies",null,"0","$0,00","1","4"
41,"pistola masajeadora para espalda",null,"0","$0,00","1","4"
42,"pistola masajeadora para contracturas",null,"0","$0,00","1","4"
43,"pistola masajeadora para drenaje linfatico",null,"0","$0,00","1","4"
44,"pistola masajeadora para tendinitis",null,"0","$0,00","1","4"
45,"accesorios para pistola masajeadora",null,"0","$0,00","1","4"
46,"puntas para pistola masajeadora",null,"0","$0,00","1","4"
47,"bateria para pistola masajeadora",null,"0","$0,00","1","4"
48,"masajes reductores con pistola masajeadora",null,"0","$0,00","1","4"
49,"estuche para pistola masajeadora",null,"0","$0,00","1","4"
50,"masajeador con forma de pistola",null,"0","$0,00","1","4"
51,"cabezales para pistola masajeadora",null,"0","$0,00","1","4"
52,"masajeador de espalda a pilas",null,"0","$0,00","1","4"
53,"masajeador para espalda y piernas",null,"0","$0,00","1","4"
54,"masajeador para espalda de silla",null,"0","$0,00","1","4"
55,"masajeador para espalda alta",null,"0","$0,00","1","4"
56,"masajeador de espalda con mango",null,"0","$0,00","1","4"
57,"cargador para masajeador de espalda",null,"0","$0,00","1","4"
58,"aparatos masajeadores de espalda",null,"0","$0,00","1","4"
59,"masajeador para espalda y pies",null,"0","$0,00","1","4"
60,"masajeador de espalda con vibracion",null,"0","$0,00","1","4"
61,"masajeador de espalda con bolitas",null,"0","$0,00","1","4"
62,"masajeador de espalda con infrarrojo",null,"0","$0,00","1","4"
63,"masajeador para espalda de mano",null,"0","$0,00","1","4"
64,"masajeador de espalda con bolas",null,"0","$0,00","1","4"
65,"masajeador para espalda amazon",null,"0","$0,00","1","4"
66,"masajeador de espalda con toques",null,"0","$0,00","1","4"
67,"masajeador de espalda con corriente",null,"0","$0,00","1","4"
68,"masajeador de espalda con electrodos",null,"0","$0,00","1","4"
69,"silla con masajeador de espalda",null,"0","$0,00","1","4"
70,"silla ergonomica oficina con masajeador de espalda reposapiés",null,"0","$0,00","1","4"
71,"masajeador para espalda de madera",null,"0","$0,00","1","4"
72,"masajeador espalda precio",null,"0","$0,00","1","12"
73,"masajeador para contracturas de espalda",null,"0","$0,00","1","4"
74,"masajeador de espalda con dedos",null,"0","$0,00","1","4"
