keyword,categoria,volumen_mensual,competencia_pago,indice_competencia_pago,puja_baja_ars,puja_alta_ars
zapatilla,Calzado/ropa deportiva generica de marca (descartar - ultra competido),135000,HIGH,100,50.66,359.1
zapatillas adidas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),110000,HIGH,100,33.41,145.51
creatina,Suplementos,74000,HIGH,100,47.49,473.2
zapatillas pumas,Indumentaria deportiva,60500,HIGH,100,40.11,318.56
zapatillas puma,Calzado/ropa deportiva generica de marca (descartar - ultra competido),60500,HIGH,100,40.11,318.56
zapatillas adidas mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),60500,HIGH,100,32.78,145.39
pelota de futbol,Futbol,40500,MEDIUM,47,61.89,260.99
camisetas de boca,Futbol,40500,HIGH,87,38.06,157.35
colageno hidrolizado,Suplementos,33100,HIGH,100,68.54,796.46
creatina monohidratada,Suplementos,33100,HIGH,100,55.12,381.65
creatina monohidrato,Suplementos,33100,HIGH,100,55.12,381.65
topper zapatillas,Indumentaria deportiva,33100,HIGH,100,57.84,1858.25
adidas botines,Futbol,33100,HIGH,100,33.42,145.39
zapatillas puma mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),33100,HIGH,100,31.18,288.04
zapatillas adidas hombre,Calzado/ropa deportiva generica de marca (descartar - ultra competido),27100,HIGH,100,31.93,145.78
adidas zapatillas hombre,Calzado/ropa deportiva generica de marca (descartar - ultra competido),27100,HIGH,100,31.93,145.78
adidas hombre zapatillas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),27100,HIGH,100,31.93,145.78
whey whey protein,Suplementos,22200,HIGH,100,67.19,387.36
whey prowin,Suplementos,22200,HIGH,100,67.19,387.36
zapatillas mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,44.04,301.39
zapatillas nike mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,24.22,140.91
zapatillas nike hombre,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,23.56,145.7
puma zapatillas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,54.32,1441.42
zapatillas vans,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,37.15,217.4
zapatillas jordan,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,72,28.32,173.29
zapatillas dc,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,32.61,230.27
zapatillas hombre nike,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,23.56,145.7
nike hombre zapatillas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),22200,HIGH,100,23.56,145.7
