vertical,count,total_score,top,top_score
hvac-plumbing-biz,47,27392858539.1,field service management software,3271625519.6
productivity-habit,34,26387043622.8,customer management software,13074057166.5
construction-pm,72,25945166904.4,construction management software,1187210336.1
newsletter-course,1,15585827919.2,platform for online courses,15585827919.2
personal-finance,206,10969818937.1,personal finance app,2493087300.0
smb-scheduling,120,8520418084.4,online appointment scheduling software,443651162.0
real-estate-pm,50,5960727881.2,zillow rent manager,915816230.0
automotive-shop,53,4235916086.0,auto repair shop software,185591854.8
salon-spa-biz,39,4046684565.9,salon and spa software,341762618.8
real-estate-agent,42,3741686894.1,real estate crm,202391783.0
estate-planning,39,3686668482.5,inventory tracking programs,1305923400.2
smb-invoicing,47,3501936054.0,business invoicing software,870519666.7
fitness-tracking,189,2787996776.7,meal planning app,186623293.5
restaurant-ops,26,1765233216.3,meal planning app,186623293.5
hr-recruiting-smb,16,1427477102.6,applicant tracking system for small business,138987563.0
job-search,40,1195673113.6,resume generator free,713432306.0
freelance-time,19,1185934372.0,software for employee time tracking,244115265.3
coparenting,15,744902566.8,co parenting app,274977867.7
nonprofit-church,14,732860689.1,church management software,307733198.0
ecommerce-returns,9,727432255.0,inventory management software small business,193082142.8
amazon-fba,2,668541496.4,amazon inventory management software,579894664.2
event-planning,14,551432616.3,wedding planning app,130972783.7
landscaping-biz,15,522778875.4,landscaping business software,60574974.3
financial-advisor-biz,7,475311873.4,financial advisor software,199962039.4
daycare-childcare,5,401739563.1,childcare management software,201916572.0
small-biz-accounting,44,371506084.1,mileage tracker,30146965.6
travel-planning,24,300046633.6,google map trip planner,96368585.6
cleaning-biz,4,230123935.5,cleaning business software,89362845.6
insurance-agent-biz,7,190473158.1,insurance agency management systems,39711119.6
genealogy,18,153733272.1,family tree genealogy software,29485896.0
freelance-client,4,137292467.3,client portal software,45647019.9
martial-arts-biz,3,126678984.4,gym payment software,42226328.1
virtual-assistant-agency,3,120342788.0,crm for real estate agent,82958950.1
caregiver-coordination,2,114891160.3,scheduling software for home care,57445580.2
vacation-rental,2,111063419.6,airbnb property management software,55531709.8
landlord-tools,1,47349994.8,rent collection software,47349994.8
content-creator,4,33600635.9,content calendar software,17433997.3
handyman-biz,1,30269447.9,handyman business software,30269447.9
smb-proposals,1,8606414.8,contract generator,8606414.8
etsy-seller,4,6730698.5,etsy charges calculator,3963896.1
